
NFAPPL-03-APPLETV3=2-9A4CC91FE754E66CC45F4E1535FB4ECDEF026E5EAC897B8959BAC36220D0C611,AR,Apple TV 3 (revised),Apple TV 3 (revised),181.231.122.246,Buenos Aires Province,2020-08-31 18:00:37.861

NFCDCH-MC-GMUD8VHM7TN2CP86V1QE9W3X0YCRMA,AR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,181.231.122.246,Buenos Aires Province,2020-08-31 17:20:27.181

SONYKDLSAL0000000000000000175102,AR,Sony Sony CE SONY SimpleTV 2015 Sal Smart TV,Sony Sony CE SONY SimpleTV 2015 Sal Smart TV,181.231.122.246,Buenos Aires Province,2020-08-31 16:53:45.210

NFUWA-001-95732662DF91ED06397B1099248F06E1386232912021CF0B08C7533DAABB400F,AR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,181.231.122.246,Buenos Aires Province,2020-08-29 13:19:55.751

NFCDCH-MC-GA6MGZ0E1RF2LV88CKJAFMJ2MGLDHY,AR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,181.231.122.246,Buenos Aires Province,2020-08-28 05:06:10.627

NFAPPL-01-IPAD3=3-1019AAE82925D5245132042CD97B0545B0F1DC30066F903A423F669653FC3DC5,AR,Apple iPad 3rd Gen (Wi-Fi/ATT) iPad,Apple iPad 3rd Gen (Wi-Fi/ATT) iPad,181.231.122.246,Buenos Aires Province,2020-07-28 03:55:54.928

NFAPPL-01-IPAD3=3-1019AAE82925D5245132042CD97B0545B0F1DC30066F903A423F669653FC3DC5,AR,Apple iPad 3rd Gen (Wi-Fi/ATT) iPad,Apple iPad 3rd Gen (Wi-Fi/ATT) iPad,181.231.122.246,Buenos Aires Province,2020-07-27 01:31:04.449

NFCDCH-MC-GA6MGZ0E1RF2LV88CKJAFMJ2MGLDHY,AR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,181.231.122.246,Buenos Aires Province,2020-04-24 20:55:16.727
